window_start,total_events,process_execution_frequency,network_connection_frequency,file_activity_frequency,session_activity_frequency,system_activity_frequency,unique_processes,unique_destinations,unique_destination_ports,process_burst_rate,network_burst_rate,process_diversity,destination_diversity,process_network_ratio,new_process_ratio,ioc_matches,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent
2026-09-10T14:15:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:16:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:17:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:18:32.295424+00:00,21,12,9,0,0,0,10,7,2,9,5,83.3333,77.7778,1.3333,0.6,0,0.0,0.0,0.0,0.0
2026-09-10T14:19:32.295424+00:00,2,0,2,0,0,0,2,2,2,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:20:32.295424+00:00,5,1,4,0,0,0,4,4,2,1,2,400.0,100.0,0.25,0.75,0,0.0,0.0,0.0,0.0
2026-09-10T14:22:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:23:32.295424+00:00,17,16,1,0,0,0,8,1,1,11,1,50.0,100.0,16.0,0.75,0,0.0,0.0,0.0,0.0
2026-09-10T14:25:32.295424+00:00,2,1,1,0,0,0,2,1,1,1,1,200.0,100.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:26:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:27:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:29:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:30:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:31:32.295424+00:00,4,4,0,0,0,0,3,0,0,4,0,75.0,0.0,4.0,0.6667,0,0.0,0.0,0.0,0.0
2026-09-10T14:32:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:33:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:34:32.295424+00:00,4,1,3,0,0,0,3,2,2,1,2,300.0,66.6667,0.3333,0.6667,0,0.0,0.0,0.0,0.0
2026-09-10T14:35:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:37:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:38:32.295424+00:00,4,3,1,0,0,0,3,1,1,2,1,100.0,100.0,3.0,0.6667,0,0.0,0.0,0.0,0.0
2026-09-10T14:39:32.295424+00:00,2,2,0,0,0,0,1,0,0,2,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:40:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:41:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:42:32.295424+00:00,2,2,0,0,0,0,2,0,0,1,0,100.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:44:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:45:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:46:32.295424+00:00,11,9,2,0,0,0,2,1,1,8,2,22.2222,50.0,4.5,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:47:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:48:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:49:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:50:32.295424+00:00,2,1,1,0,0,0,2,1,1,1,1,200.0,100.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:51:32.295424+00:00,5,5,0,0,0,0,1,0,0,5,0,20.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:52:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:53:32.295424+00:00,2,0,2,0,0,0,1,1,1,0,2,0.0,50.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:54:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:56:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:57:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T14:59:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:01:32.295424+00:00,5,5,0,0,0,0,5,0,0,3,0,100.0,0.0,5.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:03:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:04:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:05:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:06:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:07:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:08:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:09:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:10:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:11:32.295424+00:00,2,2,0,0,0,0,1,0,0,2,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:12:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:13:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:14:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:15:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:16:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:17:32.295424+00:00,2,2,0,0,0,0,2,0,0,2,0,100.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:18:32.295424+00:00,4,1,3,0,0,0,2,3,1,1,3,200.0,100.0,0.3333,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T15:19:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:20:32.295424+00:00,3,0,3,0,0,0,2,3,1,0,2,0.0,100.0,0.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T15:22:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:23:32.295424+00:00,12,12,0,0,0,0,4,0,0,11,0,33.3333,0.0,12.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T15:25:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:26:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:27:32.295424+00:00,2,1,1,0,0,0,2,1,1,1,1,200.0,100.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:29:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:30:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:31:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:32:32.295424+00:00,5,5,0,0,0,0,3,0,0,4,0,60.0,0.0,5.0,0.6667,0,0.0,0.0,0.0,0.0
2026-09-10T15:33:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:34:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:35:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:36:32.295424+00:00,3,3,0,0,0,0,2,0,0,2,0,66.6667,0.0,3.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T15:38:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:39:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:40:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:41:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:42:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:43:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:44:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:45:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:46:32.295424+00:00,3,1,2,0,0,0,2,1,1,1,2,200.0,50.0,0.5,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T15:47:32.295424+00:00,4,4,0,0,0,0,1,0,0,4,0,25.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:49:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:50:32.295424+00:00,2,1,1,0,0,0,2,1,1,1,1,200.0,100.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:51:32.295424+00:00,3,2,1,0,0,0,2,1,1,2,1,100.0,100.0,2.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T15:53:32.295424+00:00,4,1,3,0,0,0,3,2,1,1,2,300.0,66.6667,0.3333,0.6667,0,0.0,0.0,0.0,0.0
2026-09-10T15:55:32.295424+00:00,2,2,0,0,0,0,2,0,0,2,0,100.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:56:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:57:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T15:59:32.295424+00:00,3,3,0,0,0,0,3,0,0,2,0,100.0,0.0,3.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:00:32.295424+00:00,5,5,0,0,0,0,3,0,0,5,0,60.0,0.0,5.0,0.6667,0,0.0,0.0,0.0,0.0
2026-09-10T16:02:32.295424+00:00,3,3,0,0,0,0,2,0,0,3,0,66.6667,0.0,3.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T16:03:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:04:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:05:32.295424+00:00,2,2,0,0,0,0,1,0,0,1,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:06:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:07:32.295424+00:00,5,5,0,0,0,0,1,0,0,4,0,20.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:08:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:09:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:10:32.295424+00:00,4,4,0,0,0,0,1,0,0,4,0,25.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:11:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:12:32.295424+00:00,3,3,0,0,0,0,2,0,0,2,0,66.6667,0.0,3.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T16:14:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:15:32.295424+00:00,2,2,0,0,0,0,2,0,0,1,0,100.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:17:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:18:32.295424+00:00,5,2,3,0,0,0,2,3,1,1,3,100.0,100.0,0.6667,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:19:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:20:32.295424+00:00,3,0,3,0,0,0,2,3,1,0,2,0.0,100.0,0.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-10T16:21:32.295424+00:00,2,2,0,0,0,0,1,0,0,2,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:22:32.295424+00:00,2,2,0,0,0,0,1,0,0,2,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:23:32.295424+00:00,14,14,0,0,0,0,4,0,0,11,0,28.5714,0.0,14.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:24:32.295424+00:00,6,6,0,0,0,0,1,0,0,6,0,16.6667,0.0,6.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:26:32.295424+00:00,5,5,0,0,0,0,1,0,0,4,0,20.0,0.0,5.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:27:32.295424+00:00,2,1,1,0,0,0,2,1,1,1,1,200.0,100.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:29:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:30:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:31:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:32:32.295424+00:00,6,6,0,0,0,0,4,0,0,4,0,66.6667,0.0,6.0,0.75,0,0.0,0.0,0.0,0.0
2026-09-10T16:33:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:34:32.295424+00:00,6,6,0,0,0,0,6,0,0,6,0,100.0,0.0,6.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:35:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:36:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:37:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:38:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:39:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-10T16:40:32.295424+00:00,6,6,0,0,0,0,6,0,0,4,0,100.0,0.0,6.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T09:52:32.295424+00:00,2,2,0,0,0,0,1,0,0,2,0,50.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0
2026-09-11T09:53:32.295424+00:00,3,3,0,0,0,0,3,0,0,3,0,100.0,0.0,3.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T09:54:32.295424+00:00,14,6,8,0,0,0,9,6,3,3,8,150.0,75.0,0.75,0.6667,0,0.0,0.0,0.0,0.0
2026-09-11T09:55:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T09:56:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T09:57:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T09:58:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T09:59:32.295424+00:00,2,2,0,0,0,0,2,0,0,2,0,100.0,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T10:00:32.295424+00:00,4,3,1,0,0,0,2,1,1,3,1,66.6667,100.0,3.0,0.5,0,0.0,0.0,0.0,0.0
2026-09-11T10:01:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T10:02:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T10:06:32.295424+00:00,1,1,0,0,0,0,1,0,0,1,0,100.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
2026-09-11T10:07:32.295424+00:00,1,0,1,0,0,0,1,1,1,0,1,0.0,100.0,0.0,1.0,0,0.0,0.0,0.0,0.0
