user_id,risk_score,risk_level,predicted_stage,prediction_confidence,ioc_matches,process_execution_frequency,file_access_frequency,network_connection_frequency,severity_evidence,threat_explanation,prediction_explanation
U039,11.5,LOW,No Significant Threat,0.9,0,2,4,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U069,11.5,LOW,No Significant Threat,0.9,0,5,1,0,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U045,11.5,LOW,No Significant Threat,0.9,0,2,3,6,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U004,11.5,LOW,No Significant Threat,0.9,0,2,4,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U006,11.5,LOW,No Significant Threat,0.9,0,5,1,0,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U025,11.5,LOW,No Significant Threat,0.9,0,2,3,6,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U063,11.5,LOW,No Significant Threat,0.9,0,2,3,6,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U066,11.5,LOW,No Significant Threat,0.9,0,2,4,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U079,11.0,LOW,No Significant Threat,0.9,0,1,5,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U035,11.0,LOW,No Significant Threat,0.9,0,3,2,4,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U050,11.0,LOW,No Significant Threat,0.9,0,2,3,5,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U007,11.0,LOW,No Significant Threat,0.9,0,2,4,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U008,11.0,LOW,No Significant Threat,0.9,0,2,4,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U041,10.5,LOW,No Significant Threat,0.9,0,1,4,5,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U009,10.5,LOW,No Significant Threat,0.9,0,2,4,1,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U087,10.5,LOW,No Significant Threat,0.9,0,4,0,5,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U053,10.5,LOW,No Significant Threat,0.9,0,3,2,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U068,10.0,LOW,No Significant Threat,0.9,0,2,3,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U019,10.0,LOW,No Significant Threat,0.9,0,2,3,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U064,9.5,LOW,No Significant Threat,0.9,0,2,3,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U086,9.5,LOW,No Significant Threat,0.9,0,3,1,4,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U005,9.5,LOW,No Significant Threat,0.9,0,2,2,5,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U030,9.5,LOW,No Significant Threat,0.9,0,3,2,1,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U003,9.5,LOW,No Significant Threat,0.9,0,2,3,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U089,9.0,LOW,No Significant Threat,0.9,0,4,0,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U062,9.0,LOW,No Significant Threat,0.9,0,1,3,5,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U080,9.0,LOW,No Significant Threat,0.9,0,1,3,5,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U055,9.0,LOW,No Significant Threat,0.9,0,3,1,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U042,9.0,LOW,No Significant Threat,0.9,0,0,5,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U054,8.5,LOW,No Significant Threat,0.9,0,0,5,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U028,8.5,LOW,No Significant Threat,0.9,0,2,2,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U031,8.5,LOW,No Significant Threat,0.9,0,2,1,6,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U010,8.5,LOW,No Significant Threat,0.9,0,3,1,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U088,8.5,LOW,No Significant Threat,0.9,0,1,3,4,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U001,8.5,LOW,No Significant Threat,0.9,0,2,2,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U048,8.0,LOW,No Significant Threat,0.9,0,2,2,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U032,8.0,LOW,No Significant Threat,0.9,0,2,1,5,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U029,8.0,LOW,No Significant Threat,0.9,0,1,3,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U052,7.5,LOW,No Significant Threat,0.9,0,1,2,5,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U075,7.5,LOW,No Significant Threat,0.9,0,1,3,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U074,7.0,LOW,No Significant Threat,0.9,0,1,3,1,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U040,6.5,LOW,No Significant Threat,0.9,0,1,2,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U046,5.0,LOW,No Significant Threat,0.9,0,1,1,3,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
U085,4.5,LOW,No Significant Threat,0.9,0,1,1,2,LOW risk,No significant behavioral threat indicators.,Predicted next stage: No Significant Threat with 90% confidence.
