window_start,process_execution_frequency,network_connection_frequency,unique_processes,unique_destinations,unique_destination_ports,process_burst,network_burst,process_diversity,destination_diversity,process_network_ratio,new_processes_ratio,new_destination_ratio,established_ratio,syn_sent_ratio,closed_ratio,ioc_matches,hour,weekday
2026-09-10T13:36:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:37:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:38:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:39:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:40:00+00:00,5,0,3,0,0,3,0,0.6,0.0,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:41:00+00:00,2,0,2,0,0,2,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:42:00+00:00,2,0,2,0,0,1,0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:43:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:44:00+00:00,2,0,1,0,0,1,0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T13:45:00+00:00,3,0,2,0,0,3,0,0.6666666666666666,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0,13,3
2026-09-10T14:08:00+00:00,3,7,2,5,3,3,7,0.6666666666666666,0.7142857142857143,0.42857142857142855,1.0,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:10:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:11:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:12:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:13:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:14:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:15:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:16:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:17:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:18:00+00:00,4,1,4,1,1,3,1,1.0,1.0,4.0,0.75,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:19:00+00:00,9,10,2,7,2,9,5,0.2222222222222222,0.7,0.9,0.5,0.8571428571428571,0.0,0.0,0.0,0,14,3
2026-09-10T14:20:00+00:00,0,2,0,2,1,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:21:00+00:00,1,2,1,2,2,1,2,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:22:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:23:00+00:00,15,1,6,1,1,9,1,0.4,1.0,15.0,0.8333333333333334,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:24:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:25:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:26:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:27:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:28:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:30:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:31:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:32:00+00:00,4,0,3,0,0,4,0,0.75,0.0,4.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:33:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:34:00+00:00,1,2,1,1,1,1,2,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:35:00+00:00,2,1,2,1,1,1,1,1.0,1.0,2.0,0.5,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:37:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:38:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:39:00+00:00,4,1,2,1,1,4,1,0.5,1.0,4.0,0.5,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:40:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:41:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:42:00+00:00,2,0,2,0,0,1,0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:44:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:45:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:46:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:47:00+00:00,9,2,2,1,1,8,2,0.2222222222222222,0.5,4.5,0.5,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:49:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:50:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:51:00+00:00,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:52:00+00:00,6,0,1,0,0,5,0,0.16666666666666666,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:53:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:54:00+00:00,0,2,0,1,1,0,2,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:55:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:57:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:58:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,14,3
2026-09-10T14:59:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,14,3
2026-09-10T15:00:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:01:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:02:00+00:00,4,0,4,0,0,3,0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:03:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:04:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:05:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:06:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:07:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:08:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:09:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:10:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:11:00+00:00,2,0,1,0,0,2,0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:12:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:13:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:14:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:15:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:16:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:17:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:18:00+00:00,2,0,2,0,0,2,0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:19:00+00:00,1,4,1,3,1,1,3,1.0,0.75,0.25,1.0,1.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:20:00+00:00,0,2,0,2,1,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:21:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:22:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:23:00+00:00,12,0,4,0,0,10,0,0.3333333333333333,0.0,12.0,0.75,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:25:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:26:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:27:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:28:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:29:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:30:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:31:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:32:00+00:00,5,0,3,0,0,3,0,0.6,0.0,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:33:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:34:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:35:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:36:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:37:00+00:00,2,0,2,0,0,2,0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:38:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:39:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:40:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:41:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:42:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:43:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:44:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:45:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:46:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:47:00+00:00,5,2,1,1,1,5,2,0.2,0.5,2.5,0.0,1.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:49:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:50:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:51:00+00:00,3,1,1,1,1,2,1,0.3333333333333333,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:52:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:53:00+00:00,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:54:00+00:00,0,2,0,1,1,0,2,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:55:00+00:00,2,0,2,0,0,2,0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:56:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:57:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:58:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,15,3
2026-09-10T15:59:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,15,3
2026-09-10T16:00:00+00:00,7,0,5,0,0,5,0,0.7142857142857143,0.0,7.0,0.8,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:02:00+00:00,3,0,2,0,0,3,0,0.6666666666666666,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:03:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:04:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:05:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:06:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:07:00+00:00,5,0,1,0,0,4,0,0.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:08:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:09:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:10:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:11:00+00:00,4,0,1,0,0,4,0,0.25,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:12:00+00:00,3,0,2,0,0,3,0,0.6666666666666666,0.0,3.0,0.5,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:13:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:14:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:15:00+00:00,2,0,2,0,0,1,0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:17:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:18:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:19:00+00:00,1,4,1,3,1,1,3,1.0,0.75,0.25,0.0,1.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:20:00+00:00,0,2,0,2,1,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:21:00+00:00,2,1,1,1,1,2,1,0.5,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:22:00+00:00,2,0,1,0,0,2,0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:23:00+00:00,12,0,4,0,0,11,0,0.3333333333333333,0.0,12.0,0.75,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:24:00+00:00,8,0,3,0,0,6,0,0.375,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:26:00+00:00,5,0,1,0,0,4,0,0.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:27:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:28:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:29:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:30:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:31:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:32:00+00:00,2,0,2,0,0,1,0,1.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:33:00+00:00,4,0,3,0,0,4,0,0.75,0.0,4.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:34:00+00:00,3,0,3,0,0,2,0,1.0,0.0,3.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:35:00+00:00,4,0,4,0,0,4,0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:36:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:37:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:38:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:39:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:40:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,16,3
2026-09-10T16:41:00+00:00,6,0,6,0,0,3,0,1.0,0.0,6.0,0.8333333333333334,0.0,0.0,0.0,0.0,0,16,3
2026-09-11T09:53:00+00:00,2,0,1,0,0,2,0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,9,4
2026-09-11T09:54:00+00:00,8,8,5,6,3,3,8,0.625,0.75,1.0,0.8,1.0,0.0,0.0,0.0,0,9,4
2026-09-11T09:55:00+00:00,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,9,4
2026-09-11T09:57:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,9,4
2026-09-11T09:58:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,9,4
2026-09-11T09:59:00+00:00,0,1,0,1,1,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,9,4
2026-09-11T10:00:00+00:00,5,1,3,1,1,3,1,0.6,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0,10,4
2026-09-11T10:02:00+00:00,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,4
2026-09-11T10:07:00+00:00,1,1,1,1,1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,10,4
2026-09-11T10:09:00+00:00,2,0,1,0,0,1,0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,10,4
2026-09-11T10:10:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,10,4
2026-09-11T10:11:00+00:00,1,0,1,0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,10,4
